source_system,source_identifier,wellbore_uid,well_code,sidetrack_code,operator_label,match_method,match_confidence,identity_kind,occurrences,official_identifiers,evidence,first_seen_in
TRAJ,15_9-19 B,15/9-19 B,15/9-19,B,,NORMALIZED,0.95,WELLBORE_FOLDER,2,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
DDR,15/9-19 BT2,15/9-19 BT2,15/9-19,BT2,,EXACT,1.00,NPD_CODE_WELLBORE,62,,already canonical,data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_BT2_1997_12_06.xml
DDR,15_9_19_BT2,15/9-19 BT2,15/9-19,BT2,,NORMALIZED,0.95,FILE_NAME,186,,stages a-d; decided at d_split_sidetrack,Daily Drilling Report file names
DDR,NO 15/9-19 BT2,15/9-19 BT2,15/9-19,BT2,,NORMALIZED,0.95,XML_NAME_WELLBORE,62,,stages a-d; decided at d_split_sidetrack,data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_BT2_1997_12_06.xml
TRAJ,15_9-19 BT2,15/9-19 BT2,15/9-19,BT2,,NORMALIZED,0.95,WELLBORE_FOLDER,2,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
DDR,15/9-19 S,15/9-19 S,15/9-19,S,,EXACT,1.00,NPD_CODE_WELL|NPD_CODE_WELLBORE,225,NPD_NUMBER:2043,already canonical; corroborated by NPD_NUMBER 2043 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 S'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_ST2_1992_12_19.xml
DDR,15_9_19_S,15/9-19 S,15/9-19,S,,NORMALIZED,0.95,FILE_NAME,147,,stages a-d; decided at d_split_sidetrack,Daily Drilling Report file names
DDR,2043,15/9-19 S,15/9-19,S,,IDENTIFIER,1.00,NPD_NUMBER,176,NPD_NUMBER:2043,NPD_NUMBER 2043 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 S'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_ST2_1992_12_19.xml
DDR,NO 15/9-19 S,15/9-19 S,15/9-19,S,,NORMALIZED,0.95,XML_NAME_WELL|XML_NAME_WELLBORE,225,NPD_NUMBER:2043,stages a-d; decided at d_split_sidetrack; corroborated by NPD_NUMBER 2043 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 S'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_ST2_1992_12_19.xml
TRAJ,15_9-19 S,15/9-19 S,15/9-19,S,,NORMALIZED,0.95,WELLBORE_FOLDER,2,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
TRAJ,15_9-19 SR,15/9-19 SR,15/9-19,SR,,NORMALIZED,0.95,WELLBORE_FOLDER,2,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
DDR,15/9-19 ST2,15/9-19 ST2,15/9-19,ST2,,EXACT,1.00,NPD_CODE_WELLBORE,127,,already canonical,data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_ST2_1992_12_19.xml
DDR,15_9_19_ST2,15/9-19 ST2,15/9-19,ST2,,NORMALIZED,0.95,FILE_NAME,381,,stages a-d; decided at d_split_sidetrack,Daily Drilling Report file names
DDR,NO 15/9-19 ST2,15/9-19 ST2,15/9-19,ST2,,NORMALIZED,0.95,XML_NAME_WELLBORE,127,,stages a-d; decided at d_split_sidetrack,data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_ST2_1992_12_19.xml
DDR,15/9-F-1,15/9-F-1,15/9-F-1,,,EXACT,1.00,NPD_CODE_WELL|NPD_CODE_WELLBORE,76,NPD_NUMBER:7223,already canonical; corroborated by NPD_NUMBER 7223 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_2007_12_02.xml
DDR,15_9_F_1,15/9-F-1,15/9-F-1,,,NORMALIZED,0.95,FILE_NAME,114,,stages a-d; decided at c_canonical_separators,Daily Drilling Report file names
DDR,7223,15/9-F-1,15/9-F-1,,,IDENTIFIER,1.00,NPD_NUMBER,38,NPD_NUMBER:7223,NPD_NUMBER 7223 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_2007_12_02.xml
DDR,NO 15/9-F-1,15/9-F-1,15/9-F-1,,,NORMALIZED,0.95,XML_NAME_WELL|XML_NAME_WELLBORE,76,NPD_NUMBER:7223,stages a-d; decided at b_strip_prefixes; corroborated by NPD_NUMBER 7223 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_2007_12_02.xml
TRAJ,15_9-F-1,15/9-F-1,15/9-F-1,,,NORMALIZED,0.95,WELLBORE_FOLDER|WELL_FOLDER,21,,stages a-d; decided at c_canonical_separators,Well_technical_data/WellWellbore
DDR,15/9-F-1 A,15/9-F-1 A,15/9-F-1,A,,EXACT,1.00,NPD_CODE_WELL|NPD_CODE_WELLBORE,14,NPD_NUMBER:7224,already canonical; corroborated by NPD_NUMBER 7224 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 A'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_A_2013_08_24.xml
DDR,15_9_F_1_A,15/9-F-1 A,15/9-F-1,A,,NORMALIZED,0.95,FILE_NAME,21,,stages a-d; decided at d_split_sidetrack,Daily Drilling Report file names
DDR,7224,15/9-F-1 A,15/9-F-1,A,,IDENTIFIER,1.00,NPD_NUMBER,7,NPD_NUMBER:7224,NPD_NUMBER 7224 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 A'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_A_2013_08_24.xml
DDR,NO 15/9-F-1 A,15/9-F-1 A,15/9-F-1,A,,NORMALIZED,0.95,XML_NAME_WELL|XML_NAME_WELLBORE,14,NPD_NUMBER:7224,stages a-d; decided at d_split_sidetrack; corroborated by NPD_NUMBER 7224 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 A'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_A_2013_08_24.xml
TRAJ,15_9-F-1 A,15/9-F-1 A,15/9-F-1,A,,NORMALIZED,0.95,WELLBORE_FOLDER,4,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
DDR,15/9-F-1 B,15/9-F-1 B,15/9-F-1,B,,EXACT,1.00,NPD_CODE_WELL|NPD_CODE_WELLBORE,146,NPD_NUMBER:7264,already canonical; corroborated by NPD_NUMBER 7264 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 B'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_B_2013_08_30.xml
DDR,15_9_F_1_B,15/9-F-1 B,15/9-F-1,B,,NORMALIZED,0.95,FILE_NAME,219,,stages a-d; decided at d_split_sidetrack,Daily Drilling Report file names
DDR,7264,15/9-F-1 B,15/9-F-1,B,,IDENTIFIER,1.00,NPD_NUMBER,73,NPD_NUMBER:7264,NPD_NUMBER 7264 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 B'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_B_2013_08_30.xml
DDR,NO 15/9-F-1 B,15/9-F-1 B,15/9-F-1,B,,NORMALIZED,0.95,XML_NAME_WELL|XML_NAME_WELLBORE,146,NPD_NUMBER:7264,stages a-d; decided at d_split_sidetrack; corroborated by NPD_NUMBER 7264 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 B'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_B_2013_08_30.xml
SIM,I-F-1B,15/9-F-1 B,15/9-F-1,B,,NORMALIZED,0.70,ECLIPSE_WELSPECS,2,,"simulator injector name; block 15/9 assumed because the name omits it, then corroborated by a source that named its own block",data/landing/sim/Reservoir_Model-Eclipse_model/Volve_sim_model_PPA-Eclipse Res Model/MOD2013_VOLVE_HM_NTRANS_BASE-SHUT-DEF-F11-BHP-F12-3.SCH
TRAJ,15_9-F-1 B,15/9-F-1 B,15/9-F-1,B,,NORMALIZED,0.95,WELLBORE_FOLDER,4,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
DDR,15/9-F-1 C,15/9-F-1 C,15/9-F-1,C,,EXACT,1.00,NPD_CODE_WELL|NPD_CODE_WELLBORE,196,NPD_NUMBER:7405,already canonical; corroborated by NPD_NUMBER 7405 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 C'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_C_2014_02_22.xml
DDR,15_9_F_1_C,15/9-F-1 C,15/9-F-1,C,,NORMALIZED,0.95,FILE_NAME,294,,stages a-d; decided at d_split_sidetrack,Daily Drilling Report file names
DDR,7405,15/9-F-1 C,15/9-F-1,C,,IDENTIFIER,1.00,NPD_NUMBER,98,NPD_NUMBER:7405,NPD_NUMBER 7405 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 C'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_C_2014_02_22.xml
DDR,NO 15/9-F-1 C,15/9-F-1 C,15/9-F-1,C,,NORMALIZED,0.95,XML_NAME_WELL|XML_NAME_WELLBORE,196,NPD_NUMBER:7405,stages a-d; decided at d_split_sidetrack; corroborated by NPD_NUMBER 7405 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 C'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_1_C_2014_02_22.xml
PROD,15/9-F-1 C,15/9-F-1 C,15/9-F-1,C,,EXACT,1.00,MONTHLY_WELLBORE_NAME|NPD_WELL_BORE_NAME,771,NPD_NUMBER:7405,already canonical; corroborated by NPD_NUMBER 7405 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 C'),data/landing/prod/Production_data/Volve production data.xlsx
PROD,7405,15/9-F-1 C,15/9-F-1,C,,IDENTIFIER,1.00,NPD_WELL_BORE_CODE,746,NPD_NUMBER:7405,NPD_NUMBER 7405 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 C'),data/landing/prod/Production_data/Volve production data.xlsx
